,LDA_Topic_0,LDA_Topic_1,LDA_Topic_2,LDA_Topic_3,LDA_Topic_4,LDA_Topic_5,LDA_Topic_6,LDA_Topic_7,LDA_Topic_8,LDA_Topic_9,LDA_Topic_10,LDA_Topic_11,LDA_Topic_12,LDA_Topic_13,LDA_Topic_14,LDA_Topic_15,LDA_Topic_16,LDA_Topic_17,LDA_Topic_18,LDA_Topic_19,LDA_Topic_20,LDA_Topic_21,LDA_Topic_22,LDA_Topic_23,LDA_Topic_24,LDA_Topic_25,LDA_Topic_26
실물,3.8246762e-06,2.566059e-06,7.2786765e-06,1.1749454e-05,1.9089995e-05,1.162652e-05,5.8109117e-06,4.915876e-06,0.0015832768,6.7307974e-06,1.00840825e-05,1.1425807e-05,9.316223e-06,5.0328786e-06,7.713176e-06,9.114048e-06,7.606443e-06,3.7555105e-06,0.0004690386,1.0891269e-05,4.2466113e-06,4.0970444e-06,7.6031083e-06,0.0002692038,4.8088145e-06,5.437689e-06,3.790235e-05
연평균,1.2732346e-05,3.0800777e-06,7.794613e-06,8.74413e-06,1.8342826e-05,0.0007434006,5.9092454e-06,0.00020846566,6.337247e-06,7.3502733e-06,7.396214e-06,1.0831233e-05,1.0001496e-05,5.151174e-06,8.138184e-06,9.5265395e-06,5.1787174e-06,3.984666e-06,6.7915103e-06,1.1027295e-05,3.4550544e-06,3.974518e-06,7.714629e-06,0.00061855913,1.9476667e-05,0.0007337971,3.8658327e-05
탐험,3.915198e-06,5.2797177e-06,7.1800355e-06,7.489094e-06,1.8427203e-05,1.0435781e-05,0.00022517504,4.7123654e-06,6.51247e-06,6.423202e-06,8.359002e-06,1.0790711e-05,1.2409939e-05,5.004221e-06,7.677171e-06,9.093184e-06,3.7608706e-06,4.6552473e-06,0.0015862209,1.0907695e-05,3.1309455e-06,3.9669703e-06,1.1965365e-05,1.3216009e-05,4.9347163e-06,0.00020280555,3.786404e-05
교육적,4.0557725e-06,2.616874e-06,0.00068433944,0.00016474877,1.830813e-05,1.2963039e-05,0.0005935787,5.601958e-06,6.219037e-06,1.28876845e-05,7.458341e-06,1.1872689e-05,1.1452445e-05,5.521165e-06,8.695171e-06,9.20186e-06,0.000531854,1.5898539e-05,6.2222875e-06,1.0619037e-05,4.082733e-06,5.176611e-06,7.380476e-06,1.5274665e-05,0.0009152743,3.4795828e-06,3.8593935e-05
부모님,4.054305e-06,2.7597328e-06,0.00067445973,7.7147215e-06,1.8779714e-05,1.0691402e-05,0.00017443816,4.857349e-06,5.9949043e-06,6.2034833e-06,7.465011e-06,1.1293085e-05,9.386381e-06,4.9147575e-06,8.680128e-06,9.316435e-06,0.00018225441,0.00030988353,8.193122e-06,1.0999683e-05,3.163412e-06,3.9598417e-06,7.109904e-06,9.663617e-06,0.00010495423,2.7357978e-06,3.8274262e-05
사고력,4.7787903e-06,0.0004014119,0.0005546589,0.0014473933,1.9043342e-05,2.1110825e-05,8.320001e-06,1.25294855e-05,6.612804e-06,0.0001299403,0.0006650918,1.375732e-05,0.0017890303,6.1771307e-06,1.00410225e-05,9.967257e-06,1.1749127e-05,3.9369575e-06,7.3701335e-06,1.2311522e-05,0.0017757387,6.4028827e-06,0.001447884,1.190272e-05,0.00060303643,0.00028648044,3.9877814e-05
스토리,1.1208658e-05,9.2234324e-05,0.00012691668,1.4362816e-05,2.0387908e-05,1.2726893e-05,0.001629192,0.00033144694,6.959057e-06,0.0011023264,7.865917e-06,1.1859199e-05,1.0716959e-05,5.380547e-06,9.952403e-06,1.3224383e-05,8.0391765e-05,0.0001467867,0.0031096807,1.253423e-05,7.4517206e-06,5.126761e-06,1.2376833e-05,0.00045658063,0.0001577845,0.00044378793,4.1143212e-05
아이디어,0.00032566028,0.00046127563,0.0031277293,9.738178e-05,0.0007025015,3.052342e-05,0.0008539205,9.812202e-05,0.0015651502,0.0010115515,0.001029688,0.0020972784,2.6479342e-05,0.00036018912,0.0015889433,0.0015658145,0.000776964,0.0007339231,4.0997053e-05,7.627984e-05,0.0012250015,0.0004220005,0.0007601815,7.480065e-05,0.00085131306,6.0548664e-06,4.4916433e-05
얼굴,0.00039174667,2.9836594e-06,0.00048632035,7.249556e-06,2.8580087e-05,1.168781e-05,0.0013320396,0.0005056237,0.0003416882,7.1894174e-06,0.00016630853,0.00024673282,1.558805e-05,0.00013442872,9.930683e-06,0.0017127737,4.397864e-06,4.7907815e-06,0.00052616256,1.2552433e-05,0.00010639099,0.0001438078,0.0004638555,1.3950152e-05,9.38349e-06,2.1605261e-05,3.9702965e-05
유익,3.8996513e-06,2.7599629e-06,0.00067877595,6.692559e-06,0.00073530554,1.2947738e-05,0.00024690537,4.97625e-06,6.187244e-06,0.00034292327,1.2214415e-05,0.00056532654,1.0501191e-05,5.322483e-06,0.00012454196,9.553935e-06,9.3591545e-05,3.9021947e-06,6.396468e-06,1.1051031e-05,9.982205e-05,0.000327096,7.198288e-06,1.0579558e-05,5.504027e-06,2.3341513e-06,3.818853e-05
프로,0.00023754673,2.8677112e-05,0.0003812772,0.0042210147,2.4047838e-05,0.0006788413,9.992686e-05,1.7107466e-05,6.6617235e-06,0.00044406066,0.00014880266,0.0007759503,1.634049e-05,6.252738e-06,2.1076134e-05,3.242755e-05,0.00023295823,8.2037404e-05,0.00033745242,1.42376675e-05,1.1347478e-05,1.8435394e-05,8.523118e-06,0.00076937606,6.68637e-06,5.0097668e-05,0.002454784
그림,0.00071499776,0.0013817113,2.6178519e-05,2.0668773e-05,0.0005833469,4.024812e-05,0.002061156,0.0010164157,7.205139e-06,2.0658996e-05,0.0012636832,2.7251886e-05,2.010575e-05,2.8649494e-05,0.0006529862,0.0002913517,0.0006660608,0.00011232883,0.0025885068,1.3623942e-05,0.002375792,0.0003357538,0.0004029825,0.00034717395,0.0022510774,0.00013063812,5.2733732e-05
시티,3.951216e-06,2.596483e-06,6.2069666e-06,6.703052e-06,1.8363267e-05,1.0119038e-05,5.6363697e-06,4.522964e-06,6.514381e-06,6.1141013e-06,1.0634795e-05,1.1075125e-05,0.0018890423,5.3702793e-06,7.618409e-06,9.113384e-06,3.6427778e-06,0.00031435332,5.933703e-06,1.2988498e-05,3.1393872e-06,3.993187e-06,6.8969534e-06,9.448827e-06,5.5030005e-06,2.1065107e-06,3.786404e-05
격려,4.775583e-06,2.7041413e-06,6.832572e-06,1.3266189e-05,1.8483815e-05,1.0103887e-05,0.0008955951,1.0366551e-05,5.95779e-06,6.163073e-06,7.3846345e-06,0.00031790868,9.15924e-06,4.9968107e-06,8.451096e-06,9.52293e-06,0.00016425467,4.3254754e-06,6.096282e-06,1.1580114e-05,0.00027833908,4.5891393e-06,7.00338e-06,9.521194e-06,5.386156e-06,2.3845876e-06,3.933961e-05
발판,3.8580474e-06,0.00040458003,6.9240996e-06,0.00031919044,1.838205e-05,1.04416185e-05,6.226521e-06,4.538761e-06,0.0003139188,0.00027253907,7.354371e-06,1.23250975e-05,1.3061252e-05,4.9584937e-06,8.742921e-06,9.649876e-06,6.2567137e-06,3.7426273e-06,6.301633e-06,0.00070870173,3.1789646e-06,9.780047e-06,8.237591e-06,9.870264e-06,6.7906176e-06,2.6944872e-06,3.9025108e-05
소양,3.9138304e-06,5.247008e-06,7.7165405e-06,2.0816507e-05,4.0049123e-05,1.0828941e-05,6.4336946e-06,4.5581e-06,6.254441e-06,3.4031524e-05,7.757089e-06,1.1819989e-05,1.0039778e-05,5.147216e-06,3.7538597e-05,0.046211984,1.0699427e-05,3.7084485e-06,6.3570424e-06,1.14030445e-05,3.5270373e-06,5.1930415e-06,3.1272655e-05,1.0019658e-05,0.00013381925,2.442693e-06,3.8230082e-05
재미,4.265118e-06,0.0002607085,7.3496703e-06,1.0116763e-05,1.9092204e-05,1.1184643e-05,0.00035699081,2.6349888e-05,6.4749784e-06,0.0002132552,7.717974e-06,1.2478688e-05,1.1122963e-05,5.4193365e-06,8.240327e-06,0.00018302449,1.5186807e-05,4.2171985e-05,6.480769e-05,1.4413392e-05,0.00079863635,1.3347495e-05,8.02927e-06,2.1692058e-05,0.0001483392,0.0002276269,3.9517956e-05
카드,9.696587e-06,0.00025544682,7.320575e-06,3.7721053e-05,1.9192348e-05,1.2210802e-05,0.00028609976,0.00035356823,6.3161956e-06,7.1176405e-06,8.322081e-06,1.16312e-05,1.7739505e-05,5.314755e-06,8.8633415e-06,9.278078e-06,4.018564e-06,0.0006081053,6.3402886e-06,1.2439615e-05,0.00027292385,4.296407e-06,8.503309e-06,0.0015747319,7.4713644e-05,7.733239e-06,0.0010490653
발행,4.130199e-06,7.54618e-05,6.513636e-06,9.442569e-06,1.9654934e-05,1.1087341e-05,6.1577243e-06,0.00012773562,2.1477394e-05,0.00046034082,1.4629922e-05,1.1179762e-05,2.35675e-05,0.00013265727,7.9043675e-06,9.288234e-06,0.000113542155,0.0006778293,6.180215e-06,0.00015563914,6.068372e-06,5.5972487e-06,8.396677e-06,1.0602977e-05,0.00014047306,5.531809e-06,3.8827347e-05
