,BERT_Topic_0,BERT_Topic_1,BERT_Topic_2,BERT_Topic_3,BERT_Topic_4,BERT_Topic_5,BERT_Topic_6,BERT_Topic_7,BERT_Topic_8,BERT_Topic_9,BERT_Topic_10,BERT_Topic_11,BERT_Topic_12,BERT_Topic_13,BERT_Topic_14,BERT_Topic_15,BERT_Topic_16
기획자,0.4920867,0.5181688,0.3970965,0.43704417,0.3903292,0.39861035,0.3343112,0.48364627,0.4980079,0.3976125,0.3915519,0.4681006,0.42309588,0.39428765,0.27061772,0.42095208,0.27783793
기후,0.1777816,0.18996072,0.14936157,0.18386674,0.115028016,0.10573588,0.18180847,0.15975212,0.1795632,0.17960854,0.13136812,0.17001149,0.1564319,0.12496507,0.17443912,0.18366507,0.056128364
긴장,0.18705457,0.19167362,0.16805245,0.19431674,0.16834244,0.06504695,0.10731152,0.1335921,0.15040044,0.1624428,0.14802103,0.12875415,0.07503731,0.08747668,0.079859406,0.18416432,0.06924917
길이,0.33437514,0.3209052,0.284173,0.36529285,0.2925747,0.2889983,0.29692578,0.34490645,0.3101592,0.24337018,0.2838369,0.25969312,0.32411894,0.24620467,0.27699745,0.30297515,0.26553908
깊이,0.32102022,0.3114652,0.2512866,0.3802263,0.26367217,0.26856297,0.27199033,0.41076162,0.32399982,0.24694091,0.23333842,0.1713914,0.34840614,0.23397684,0.31315988,0.28006607,0.24345146
나라,0.37799856,0.41134125,0.33426392,0.40073964,0.3476737,0.2325424,0.2725982,0.37033305,0.38071144,0.44165474,0.28168437,0.31713656,0.33298516,0.24661422,0.2890007,0.37774622,0.20146488
나름,0.42046142,0.40063882,0.3389392,0.5282873,0.35021788,0.2885359,0.27293095,0.45668417,0.42425734,0.3762353,0.27369034,0.27758265,0.4205802,0.29369846,0.38503954,0.3777125,0.2512185
나머지,0.38662338,0.397053,0.3110468,0.44350564,0.32820356,0.27803898,0.29026222,0.38487965,0.40061295,0.3311001,0.2645591,0.24777447,0.34001696,0.25773793,0.30122858,0.35405004,0.20221068
나이,0.2928388,0.24481632,0.27314472,0.29014915,0.28037953,0.17805177,0.17008412,0.22620553,0.28601608,0.21291442,0.29299316,0.19710119,0.16040522,0.19043617,0.17805715,0.32373193,0.16970319
나중,0.45906246,0.44506782,0.36982238,0.5501437,0.3795969,0.31462845,0.3344496,0.47267482,0.48094004,0.40545827,0.30155256,0.31837738,0.4362371,0.3172167,0.3997981,0.41385388,0.24779727
낚시,0.1675041,0.18656819,0.13322704,0.21051246,0.13706432,0.13016936,0.14919406,0.18969074,0.17814875,0.12634538,0.13472247,0.050755844,0.16932546,0.055979256,0.12892297,0.15362984,0.14429486
난이도,0.41778368,0.35945988,0.32703188,0.593778,0.3652039,0.24553546,0.23294914,0.4501222,0.45553398,0.36026138,0.24093634,0.26545188,0.41452408,0.2985832,0.453897,0.40895623,0.23587249
난제,0.4054044,0.3800282,0.33010584,0.5073428,0.3655355,0.26472586,0.23078692,0.42528194,0.40494192,0.34877783,0.27022332,0.2853363,0.3713457,0.27695715,0.34425473,0.3728407,0.22868356
날개,0.21339524,0.20374767,0.17045504,0.25127354,0.2609844,0.1859312,0.10771192,0.24000895,0.21126337,0.13015428,0.18624482,0.16336396,0.18960986,0.12772813,0.1481134,0.2791156,0.17476454
날씨,0.1978658,0.20054947,0.15945554,0.2413896,0.14598782,0.10121906,0.17973031,0.19064814,0.18633546,0.22751628,0.123489276,0.22824353,0.17886758,0.14217222,0.2021603,0.22343017,0.07381145
남녀,0.2991679,0.29455066,0.22409101,0.30749106,0.27205753,0.22119641,0.15549213,0.28272074,0.27075326,0.2548008,0.27277932,0.2345859,0.2443386,0.19710389,0.19503634,0.29808047,0.19136986
내국인,0.48938614,0.47689024,0.39472884,0.6082574,0.42491665,0.3278262,0.3180814,0.51249194,0.5070026,0.48256356,0.32075173,0.36377633,0.50517935,0.3543599,0.4915273,0.46659034,0.27676454
내년,0.34164947,0.3537671,0.31681293,0.36380324,0.27014124,0.19606471,0.2593374,0.2836995,0.38607746,0.35462195,0.2494295,0.3259611,0.21235207,0.24721701,0.21567318,0.3606597,0.13368015
내달,0.32076585,0.32973468,0.27741414,0.38523617,0.29832932,0.16353694,0.18039098,0.2847804,0.3383936,0.36309496,0.2169562,0.3343396,0.23758957,0.22249398,0.22396505,0.3344084,0.14638475
