,BERT_Topic_0,BERT_Topic_1,BERT_Topic_2,BERT_Topic_3,BERT_Topic_4,BERT_Topic_5,BERT_Topic_6,BERT_Topic_7,BERT_Topic_8,BERT_Topic_9,BERT_Topic_10,BERT_Topic_11,BERT_Topic_12,BERT_Topic_13,BERT_Topic_14,BERT_Topic_15,BERT_Topic_16
가격,0.14142221,0.15558647,0.080379546,0.15053296,0.14715654,0.17721221,0.2315327,0.11343215,0.11862574,0.049366675,0.09299547,0.09996845,0.08357469,0.037997458,0.085731246,0.1091117,0.04930578
가공,0.4338606,0.41913396,0.34692806,0.49712008,0.35395116,0.34792173,0.30115354,0.44587207,0.42507997,0.36301517,0.31277016,0.3299496,0.37824667,0.3208987,0.3022767,0.39082193,0.25929523
가구,0.08751891,0.0721097,0.07775923,0.058951233,0.15116271,0.12577476,0.0015717763,0.05723834,0.050947096,0.051677153,0.11208787,0.09036778,0.04174433,0.08856116,0.028610326,0.065818205,0.074075036
가늠,0.44332415,0.4226104,0.36213982,0.523029,0.3818899,0.31251934,0.3003043,0.45410842,0.43892407,0.3863397,0.31433892,0.3221466,0.39911824,0.31512657,0.35446855,0.40382624,0.26540273
가능,0.36828923,0.36599153,0.28975058,0.3734116,0.34357542,0.3320161,0.27354234,0.38583785,0.3602675,0.27769434,0.31209946,0.27442336,0.35103488,0.24775341,0.32293236,0.34721565,0.2314341
가능성,0.34029305,0.35828596,0.27072746,0.3189518,0.32064712,0.28897047,0.24654892,0.32760635,0.32524577,0.2623388,0.29834914,0.28606296,0.25543723,0.22532423,0.24880852,0.31775305,0.15488672
가량,0.4283526,0.40304655,0.34348917,0.5316316,0.35110232,0.31700987,0.34923744,0.4495054,0.43581283,0.3718903,0.28634813,0.28786182,0.40489376,0.29309598,0.37398145,0.38420445,0.24410579
가명,0.42576498,0.4099192,0.35559607,0.48396993,0.36741233,0.2967571,0.28086007,0.43553886,0.42103612,0.3575719,0.30818006,0.3118455,0.38082534,0.29668754,0.32081655,0.38301706,0.25933117
가사,0.497679,0.45764783,0.39999086,0.6510961,0.40859458,0.32699174,0.31756115,0.5318773,0.5165212,0.45027313,0.31413323,0.3432226,0.5017987,0.37145245,0.49478433,0.4721218,0.29199418
가상,0.43227896,0.41715926,0.35571212,0.42573732,0.42610902,0.36067438,0.28299022,0.45014137,0.38636562,0.31299147,0.37703526,0.33070782,0.37539566,0.2957902,0.3163801,0.3920092,0.31193805
가상공간,0.2899578,0.30379513,0.22762442,0.179082,0.41135144,0.37498882,0.18063682,0.33430275,0.21813855,0.1365623,0.36365777,0.2942143,0.25462943,0.2773127,0.25398573,0.2726973,0.262158
가상세계,0.409359,0.4304654,0.3214458,0.34432733,0.49200666,0.47144055,0.2278886,0.44379032,0.33098957,0.28196657,0.42362857,0.33041933,0.3544454,0.32600212,0.33930773,0.39097267,0.31055954
가상인간,0.38039365,0.36766383,0.27924252,0.31268173,0.45082545,0.4038697,0.17782387,0.44301578,0.29131204,0.19621839,0.39199376,0.29009047,0.33235282,0.25901258,0.24600756,0.3501599,0.31902117
가상현실,0.3314852,0.3191424,0.2632647,0.23068535,0.4041565,0.38261318,0.20080212,0.37113363,0.23962978,0.17310955,0.3643124,0.2861753,0.24045536,0.25361302,0.22703922,0.29787812,0.2706257
가속,0.42187464,0.39581448,0.33621448,0.54227376,0.3537543,0.29701996,0.2884546,0.45185944,0.43303144,0.3752753,0.28060892,0.29413706,0.40816936,0.30370182,0.3987649,0.40692157,0.2520579
가속화,0.37788412,0.3969032,0.27492446,0.42959693,0.28815418,0.3310024,0.36157674,0.38280696,0.3840704,0.3247474,0.27703643,0.28630686,0.34766555,0.24802467,0.3190791,0.36420882,0.20676872
가을,0.18960348,0.16086617,0.18853128,0.22426939,0.19817713,0.06591786,0.09650012,0.13478799,0.18854854,0.15634781,0.15246052,0.25353396,0.10833281,0.15582839,0.16036549,0.21035849,0.107321426
가이드북,0.5123058,0.51454353,0.4644915,0.41869077,0.4623236,0.42471156,0.42892855,0.47910178,0.4443295,0.36184245,0.4982199,0.4820827,0.39479047,0.4605819,0.30393052,0.455162,0.3809501
가입,0.49046218,0.50047684,0.39467973,0.50152946,0.46968007,0.36991984,0.33412188,0.45683646,0.50244236,0.4169432,0.3932723,0.41311282,0.42492884,0.37837493,0.3595136,0.49454206,0.30789047
가입자,0.49109328,0.49298823,0.37377656,0.48304063,0.49261004,0.37883234,0.31822556,0.45399514,0.4881291,0.4152633,0.41378582,0.39133662,0.4439656,0.37979782,0.3322234,0.4844419,0.3235733
가전,0.49188477,0.45671472,0.38946867,0.63998455,0.4038644,0.34898,0.33051908,0.52394545,0.5157756,0.44195804,0.31447488,0.33267528,0.48782808,0.356956,0.47195238,0.47418326,0.28377903
가정,0.25355214,0.22960572,0.2402997,0.25575072,0.25159627,0.16676393,0.12767111,0.1819236,0.21208075,0.24415013,0.25828972,0.19544607,0.1494129,0.16992348,0.12313616,0.19547662,0.11520521
가족,0.21929972,0.17031798,0.22862363,0.23591097,0.23783675,0.094508395,0.055381883,0.15945573,0.17449272,0.19867425,0.23096673,0.15312219,0.12379724,0.15193826,0.10434075,0.1714895,0.11224827
가족들,0.301134,0.242385,0.30221745,0.33382642,0.30861044,0.13747624,0.11114746,0.24144876,0.26034385,0.28454822,0.27800655,0.2094554,0.20630038,0.22763634,0.18812536,0.25692433,0.16153942
가지,0.3906181,0.3738129,0.3244934,0.4651181,0.35061076,0.26595652,0.22597538,0.39891613,0.3849936,0.31830865,0.28196216,0.2641324,0.34738046,0.27448308,0.2983147,0.35102588,0.23620036
가짜,0.31847036,0.3033994,0.26271427,0.34591287,0.27746543,0.24798913,0.15994161,0.3530606,0.25907308,0.20073134,0.24864961,0.19506554,0.27325234,0.20393506,0.241725,0.29824853,0.18348357
가짜뉴스,0.2738364,0.3310287,0.21064442,0.27563357,0.17797966,0.19288969,0.17848638,0.29331797,0.20038173,0.22423561,0.21950659,0.19668318,0.25178862,0.20549065,0.2054083,0.26821536,0.11723941
가치,0.320166,0.30871367,0.26343557,0.2876563,0.2740242,0.27699327,0.40177703,0.25901583,0.2866028,0.21857876,0.2508842,0.16623318,0.21850656,0.14191498,0.16480185,0.22485256,0.18057209
가치관,0.39099872,0.37336478,0.366309,0.3361151,0.30860403,0.27617604,0.42097276,0.3156144,0.3486641,0.29972583,0.3242453,0.2059951,0.2557209,0.21479434,0.18067363,0.28074598,0.24104089
가칭,0.4779153,0.4237047,0.37233695,0.6755815,0.39908463,0.339396,0.30850843,0.51770127,0.5029936,0.44971827,0.28973547,0.31982076,0.52385443,0.374576,0.5401844,0.45341897,0.31044674
각광,0.40141132,0.38511658,0.34092847,0.41207075,0.35408235,0.29372588,0.3040458,0.40121493,0.3695597,0.32250297,0.3290738,0.29289466,0.3221073,0.2778521,0.24777739,0.34331745,0.27208796
각국,0.49996674,0.5077212,0.42485896,0.54121596,0.44461316,0.33524328,0.35028714,0.48998076,0.5038973,0.50912243,0.3735925,0.40371597,0.45335454,0.36962038,0.40028208,0.4672324,0.2873606
각자,0.44888735,0.43098,0.38221732,0.500873,0.3949657,0.29228842,0.28344315,0.45149064,0.4471882,0.38016516,0.33156908,0.31136245,0.3867864,0.3103534,0.31789714,0.40464082,0.25927797
각종,0.4553262,0.44224358,0.37987065,0.5131123,0.41442382,0.34173286,0.30955583,0.4599492,0.4329261,0.3625936,0.33801234,0.30496553,0.40163302,0.3211577,0.34427714,0.40734002,0.27370214
간과,0.19074531,0.18558511,0.13553149,0.29868674,0.13895568,0.07053808,0.07618329,0.20810245,0.21940535,0.24757156,0.08219102,0.056795895,0.17545806,0.08543141,0.14709145,0.16822627,0.06424525
간담회,0.50573635,0.51727533,0.42990708,0.5106392,0.43969238,0.35737714,0.34122658,0.477732,0.49058127,0.44414884,0.4037478,0.4486789,0.4094903,0.39638102,0.3318179,0.4721644,0.28378224
갈등,0.29574335,0.33616793,0.26675186,0.28992504,0.2581682,0.16993383,0.1398494,0.28073877,0.28686836,0.26353472,0.24979803,0.21709478,0.23733273,0.22510841,0.18509556,0.28998113,0.13397641
감각,0.35097384,0.33327675,0.29273438,0.35328448,0.3535388,0.24140349,0.25473407,0.344127,0.27313307,0.25926176,0.2941421,0.27561942,0.2701035,0.23181537,0.20771024,0.28291023,0.22512582
감독,0.497542,0.46622422,0.37954676,0.6516809,0.3930316,0.37592733,0.33766025,0.5271006,0.5429864,0.4471985,0.3040769,0.35241193,0.50655127,0.37658584,0.47779202,0.4981172,0.28914195
감사,0.4197281,0.4137286,0.335172,0.43257895,0.38570967,0.29094094,0.29107463,0.41413474,0.43231547,0.37053764,0.30438477,0.340344,0.37458506,0.28888047,0.34201124,0.37621334,0.23237012
감상,0.37967047,0.36555207,0.30832386,0.41691148,0.36792994,0.22605075,0.2619778,0.3615046,0.35340458,0.32816127,0.2768747,0.31310993,0.2863652,0.25100946,0.26135507,0.35145468,0.2028174
감성,0.33510643,0.31058294,0.2867927,0.3639755,0.30904227,0.1855254,0.2164158,0.31211782,0.30452245,0.29081422,0.24178344,0.2285368,0.24433365,0.20162635,0.21833953,0.2787996,0.16745472
감소,0.27797303,0.27517527,0.21927154,0.29782042,0.20229924,0.24591336,0.26278532,0.26639387,0.24528855,0.23798177,0.20061433,0.15849966,0.23548293,0.17478755,0.18874794,0.24024376,0.15123919
감안,0.38300455,0.37362063,0.3080579,0.45303452,0.3256896,0.21933123,0.20902118,0.38059855,0.37468338,0.34782067,0.25163627,0.26704204,0.3434618,0.24187025,0.309867,0.33742964,0.18559578
감정,0.21967952,0.195727,0.18513802,0.2737056,0.22265565,0.06404147,0.10202103,0.18669,0.17880335,0.19032939,0.14606608,0.1265204,0.12716101,0.13359469,0.16036044,0.1832112,0.09533097
감지,0.30538464,0.28542995,0.24768442,0.3375709,0.26380265,0.18408906,0.21437131,0.29324114,0.27478623,0.28379458,0.2309533,0.21695763,0.24901661,0.17988694,0.17699468,0.25815585,0.18860812
강국,0.311316,0.34795955,0.2611624,0.35750556,0.24889305,0.20197333,0.28950697,0.31489587,0.3243467,0.35977897,0.20313536,0.26358718,0.27437633,0.19844043,0.21848772,0.28809467,0.120760426
강사,0.38603842,0.37053248,0.33211452,0.43676832,0.31517822,0.2552714,0.2428847,0.37952614,0.36850506,0.33007005,0.29299378,0.272001,0.3178596,0.2700105,0.27914286,0.37668943,0.21770883
강사진,0.3156723,0.30648935,0.23127276,0.33970883,0.25881705,0.22292838,0.23521039,0.3520714,0.2711764,0.27468485,0.25787866,0.27288887,0.28882772,0.21566415,0.23668551,0.30435014,0.27176535
강연,0.49500257,0.49691606,0.44903895,0.48485678,0.42950755,0.32334235,0.28120422,0.54072404,0.45955187,0.34277993,0.41074574,0.4173752,0.4628846,0.4343614,0.40911996,0.4551592,0.37929156
강의,0.53260994,0.45398062,0.56431097,0.49593484,0.42694482,0.32615674,0.33510196,0.56384933,0.51478255,0.33937472,0.4417888,0.40171474,0.4448402,0.5053194,0.42419732,0.43196845,0.41827852
강의실,0.5820117,0.48985732,0.5927306,0.5620098,0.49651828,0.4131118,0.3231112,0.59314716,0.56819844,0.42898053,0.4767319,0.49318758,0.48752093,0.6314636,0.46892875,0.4926726,0.43935084
강자,0.29159504,0.29227853,0.22999698,0.34044784,0.23358968,0.19172195,0.25215068,0.28716576,0.3215918,0.27698475,0.17390235,0.16475098,0.23285758,0.18098529,0.1560053,0.27557594,0.11716814
강제,0.4055366,0.41380858,0.33835158,0.43341672,0.33580852,0.31247044,0.24511465,0.38393486,0.38245827,0.3456071,0.3204412,0.29837567,0.33872715,0.27298898,0.26274484,0.38776705,0.21822508
강조,0.46181488,0.4608673,0.38499886,0.49151626,0.37836385,0.33972028,0.35436362,0.45324618,0.4315041,0.39101732,0.35843125,0.33810788,0.40952903,0.31190473,0.34998342,0.42473486,0.29054755
강좌,0.52784824,0.4622445,0.5475688,0.4710586,0.43421462,0.33829498,0.39615673,0.51885635,0.4924015,0.3484435,0.45067132,0.3750716,0.3933317,0.4456537,0.3512164,0.4239229,0.38246217
강화,0.359844,0.363913,0.27989036,0.38330257,0.2844029,0.29820633,0.34530383,0.33286148,0.35582864,0.31610093,0.26441908,0.22796479,0.2991237,0.21869546,0.2200931,0.33127794,0.21223241
강화학습,0.5424752,0.46094286,0.57965696,0.40917665,0.49065006,0.4229548,0.46935132,0.48620772,0.48759133,0.31627548,0.5483691,0.3708784,0.3499135,0.46953934,0.31761083,0.4444664,0.5067514
개개인,0.41246197,0.38179034,0.33573854,0.44128644,0.40023914,0.31864855,0.2207489,0.4056192,0.37829292,0.32177728,0.35494575,0.28561848,0.36091334,0.2595002,0.28627104,0.37291163,0.2765727
개교,0.36354715,0.33254623,0.34243274,0.39925286,0.28109342,0.18835494,0.20031345,0.3760577,0.37799555,0.3080641,0.23719688,0.2587638,0.303317,0.2752808,0.26797664,0.30252272,0.17134841
개국,0.38767788,0.40637526,0.33053458,0.43730068,0.33987057,0.2649013,0.28013378,0.3955208,0.39030612,0.38600564,0.27849334,0.30154806,0.36555058,0.25285685,0.32689708,0.3781379,0.2196958
개념,0.48101944,0.4833548,0.44792885,0.4227282,0.42232,0.41997474,0.35761034,0.44309762,0.4061049,0.36215323,0.42911977,0.38332537,0.379256,0.34989762,0.29700845,0.39152944,0.3026073
개막,0.55841327,0.5558762,0.45438087,0.66701174,0.4378297,0.3710984,0.37651646,0.567775,0.57501495,0.5371195,0.37498218,0.4189669,0.52552974,0.41334623,0.50002533,0.5469123,0.2827772
개발사,0.5556779,0.56531745,0.47944847,0.46590364,0.4528727,0.53029823,0.4369663,0.53084916,0.52267027,0.43212962,0.50674504,0.4756869,0.45669055,0.42678714,0.3313714,0.48280373,0.3911568
개방,0.3773564,0.3909238,0.3193972,0.37707782,0.35099143,0.31813014,0.28406942,0.35895997,0.3455164,0.28843677,0.31112754,0.34280068,0.31081843,0.28935182,0.29364747,0.35109532,0.25221956
개방성,0.37548172,0.3962107,0.32222745,0.3393512,0.3467582,0.3281836,0.31144127,0.3359359,0.32961255,0.2912933,0.3267961,0.35363045,0.30345273,0.28860593,0.27584004,0.32834435,0.2338254
개별,0.40204728,0.38897693,0.32204944,0.4220296,0.3790112,0.3344504,0.25817013,0.39558434,0.38513437,0.3265347,0.35755664,0.2946669,0.3611747,0.26707226,0.2622046,0.37482688,0.2711719
개선,0.39906555,0.41236714,0.34627956,0.30272242,0.33116806,0.36687094,0.41456366,0.33531165,0.3744423,0.347977,0.35291988,0.30788028,0.29973933,0.28253204,0.2106054,0.31147414,0.2744755
개설,0.4054377,0.40658522,0.34836978,0.43997335,0.34557933,0.25447074,0.28459948,0.39626026,0.39631587,0.36316168,0.29366484,0.35128132,0.33311546,0.29479024,0.29059893,0.3944835,0.2124463
개소,0.3915167,0.37303776,0.3224573,0.47009695,0.34970242,0.26050755,0.24967745,0.4120773,0.38173622,0.35317957,0.27595186,0.2777278,0.35652018,0.26354322,0.3070845,0.3615006,0.23769748
개시,0.43730533,0.4005534,0.36355257,0.54663146,0.3724456,0.27761912,0.26738983,0.4608037,0.43673998,0.38511974,0.30085304,0.30430573,0.41623533,0.31085396,0.3848878,0.40160215,0.26729655
개월,0.21391162,0.24072441,0.19425344,0.22212657,0.20360729,0.11610475,0.103298485,0.17094544,0.21742481,0.22645527,0.17357343,0.2314922,0.13861993,0.14667797,0.09670457,0.22841893,0.131987
개인,0.39573058,0.38264382,0.31147957,0.39223444,0.3689947,0.30917913,0.23252773,0.3753268,0.3689364,0.30535018,0.35164416,0.27114826,0.3341544,0.23963897,0.25540859,0.3488422,0.23896809
개인별,0.45086944,0.4492336,0.36817336,0.39531386,0.42764074,0.34251425,0.31331116,0.3971334,0.39821947,0.35381535,0.42543042,0.30771664,0.35410917,0.26966143,0.2412369,0.3909576,0.2922183
개인적,0.346031,0.34574845,0.27854267,0.30407658,0.33865118,0.28694087,0.22951691,0.28557077,0.28903538,0.26255542,0.3526327,0.22277808,0.2524317,0.20146479,0.18255556,0.2805639,0.21576954
개인정보,0.43761435,0.4688486,0.34545678,0.3780251,0.3931681,0.3800795,0.34352893,0.42073447,0.34648114,0.28931648,0.43879667,0.2850719,0.40769008,0.27419466,0.2794189,0.37301055,0.31924772
개인화,0.4352442,0.43292767,0.3605706,0.38156593,0.41073582,0.34166184,0.25894836,0.382077,0.37164366,0.32271388,0.4274436,0.28012788,0.3464731,0.28124696,0.2461007,0.35196,0.29216877
개입,0.4061364,0.4056998,0.32800308,0.4558619,0.3493908,0.29071087,0.25577012,0.4091835,0.39081645,0.32938302,0.3093254,0.29418302,0.37080675,0.27746546,0.31164917,0.37737918,0.25063056
개정,0.41705883,0.43695462,0.37777406,0.3918447,0.31739554,0.3016675,0.29222098,0.39611208,0.41155463,0.38588083,0.32025847,0.33370724,0.37044603,0.29766622,0.29267496,0.35247245,0.21157262
개정교육,0.55234325,0.46934104,0.6527847,0.39140093,0.46712196,0.33023655,0.3585521,0.48232326,0.5611899,0.38233548,0.514477,0.45074335,0.34863287,0.51471686,0.3808652,0.4334492,0.40157825
개정안,0.43392372,0.46013236,0.37778378,0.40928456,0.32374936,0.34180528,0.31209332,0.4137978,0.4150156,0.40618026,0.33824366,0.34943056,0.40282276,0.30838367,0.3023467,0.3562343,0.23424172
개척,0.4084793,0.38445377,0.35038036,0.47380248,0.38318646,0.26347762,0.26568878,0.40857494,0.40304625,0.35822546,0.3065005,0.30074787,0.35530818,0.28435376,0.3004829,0.3786191,0.24770826
개최,0.4426245,0.40104553,0.3597477,0.5845306,0.37996188,0.3515324,0.3036644,0.46840638,0.45155275,0.37432247,0.30150247,0.29859632,0.48107487,0.34989554,0.47192514,0.42509812,0.30303526
개편,0.42294526,0.42319584,0.3541657,0.45106295,0.3714788,0.32619268,0.28380528,0.41844785,0.41851366,0.3464895,0.335024,0.32395744,0.36163986,0.29590484,0.29182464,0.37925285,0.2669037
개혁,0.32403487,0.37210643,0.33410525,0.2336355,0.20078649,0.22441629,0.21934089,0.26614153,0.32819068,0.37563965,0.26700595,0.30912036,0.26081473,0.25510982,0.19007668,0.256885,0.12130566
객관성,0.4494137,0.45024133,0.42225188,0.3254152,0.3999145,0.36299697,0.38275564,0.3729797,0.35654613,0.28061,0.43065208,0.31563795,0.31575662,0.28028905,0.20025176,0.32878822,0.31698757
객관적,0.4395327,0.43185714,0.40862367,0.3282847,0.38962096,0.36546385,0.36822268,0.37587267,0.34542412,0.2926892,0.4276014,0.32073683,0.3195306,0.2825869,0.22823253,0.32885104,0.31748873
거대,0.26834953,0.27593774,0.19018155,0.35732388,0.26280993,0.20811626,0.21642368,0.2828002,0.2887047,0.25149405,0.16270697,0.23530233,0.24413401,0.17775978,0.21512696,0.2680185,0.1029845
거대언어모델,0.48969078,0.48260373,0.4526715,0.4794271,0.45625222,0.45676142,0.3858139,0.5530938,0.44021592,0.35572678,0.43772057,0.3555773,0.5725817,0.39631265,0.49509493,0.4179961,0.4938118
거래,0.2855978,0.35416794,0.19355154,0.29630253,0.26307675,0.23939621,0.19765058,0.24966346,0.28112826,0.23717931,0.20197704,0.26366353,0.24550301,0.17217793,0.1676004,0.22621232,0.067146406
거론,0.39228523,0.37703323,0.31616223,0.46058053,0.35047284,0.2511486,0.2509172,0.41772446,0.3976652,0.31591588,0.2698006,0.30067682,0.34497118,0.25183648,0.2895065,0.35247183,0.20137459
거리,0.37378895,0.36888474,0.31139976,0.40174478,0.33424196,0.23772669,0.24009493,0.31612307,0.34591106,0.4023187,0.28060997,0.38451856,0.31856605,0.28973007,0.31807977,0.35869664,0.20565385
거버넌스,0.48688653,0.44863886,0.38344324,0.64245576,0.41306865,0.3315793,0.3132224,0.5158843,0.51682115,0.43722165,0.30583906,0.3506971,0.47759324,0.35629362,0.45507556,0.46976265,0.26307046
거부,0.34253561,0.35105526,0.27059257,0.39387998,0.2986914,0.24298,0.19102243,0.34615785,0.33467686,0.28755033,0.23645282,0.25909373,0.32313043,0.20315814,0.28135642,0.34306902,0.17294347
거주,0.43208453,0.42158967,0.3473606,0.5202477,0.41041374,0.27234703,0.25919044,0.4334992,0.44311154,0.43909013,0.2899561,0.35652816,0.42030886,0.3146885,0.4290517,0.395113,0.22419873
거짓,0.28346485,0.2684278,0.24357696,0.32854465,0.21622133,0.1891293,0.15855528,0.32747322,0.24592324,0.18873304,0.19066884,0.15362588,0.25834194,0.18050092,0.23206773,0.24800861,0.12902191
거짓말,0.30235153,0.2734697,0.26312482,0.34308022,0.21845421,0.20360032,0.16404699,0.3507874,0.26569885,0.18703683,0.2177518,0.14259052,0.29655513,0.20942128,0.26305565,0.2597295,0.17657965
걱정,0.14614177,0.18850595,0.11509599,0.14180121,0.13025796,0.0022577848,0.051623195,0.074784994,0.106132016,0.16803935,0.11241789,0.11378507,0.012646564,0.03232756,0.00026785163,0.12347071,-0.033993434
건강,0.24200855,0.22844803,0.20321512,0.23303407,0.21087334,0.12012592,0.18389674,0.17652899,0.21165362,0.3387034,0.18299568,0.13605246,0.15548567,0.10621293,0.12442751,0.19826838,0.10186937
건설,0.34266108,0.36755848,0.29985812,0.28400242,0.22316349,0.29702887,0.30483097,0.3114242,0.35383007,0.31715024,0.27361426,0.31611994,0.26721603,0.26871496,0.21538071,0.29594815,0.17619082
건수,0.42797786,0.3996886,0.3502244,0.528909,0.3825077,0.28424,0.2609246,0.44887382,0.42416853,0.37692916,0.29513365,0.30208755,0.39759094,0.30476478,0.36708647,0.3914242,0.26386696
건전,0.46370482,0.43612558,0.37048376,0.57364,0.40250438,0.33042395,0.28997058,0.48189768,0.46267605,0.4040171,0.31987074,0.32548127,0.4469811,0.33172792,0.4244758,0.43425453,0.28221557
검사,0.46015656,0.4456275,0.3715712,0.5139594,0.3799355,0.3255208,0.3609612,0.44945666,0.4522233,0.3917517,0.33422488,0.34415817,0.3978769,0.31203264,0.34822667,0.42259315,0.261846
검색,0.3548962,0.41108885,0.27588367,0.2984295,0.33030036,0.3151971,0.31758887,0.31310946,0.29998523,0.21111703,0.36112618,0.28908467,0.28111959,0.23857106,0.21122131,0.3797822,0.28001136
검색엔진,0.46106187,0.51827776,0.36362028,0.4023388,0.42794627,0.39307514,0.37391505,0.4176131,0.40710127,0.31510478,0.4382258,0.3951115,0.3725797,0.33735076,0.2777298,0.46433282,0.3329655
검정,0.2651826,0.23847419,0.21863839,0.35185695,0.19940883,0.16438247,0.17953096,0.30293953,0.26360023,0.23281248,0.1676653,0.17241736,0.23661366,0.17836234,0.21149492,0.2272287,0.17356804
검증,0.38567963,0.3922519,0.2973457,0.3404512,0.2818684,0.30695027,0.43050885,0.35942274,0.34538284,0.3055873,0.3203448,0.26734132,0.3561117,0.21430656,0.24123493,0.3340806,0.24955389
검토,0.5234339,0.52214926,0.44408613,0.5123298,0.4260925,0.36628467,0.44323817,0.48844236,0.4954067,0.4388429,0.41300887,0.4063125,0.43472308,0.36021185,0.35181135,0.46300554,0.2976383
것들,0.47323924,0.44294015,0.38604116,0.5845549,0.42154998,0.35044158,0.3222195,0.4885186,0.4526694,0.3938189,0.3345739,0.31300485,0.44485816,0.342039,0.41019604,0.43364424,0.2977454
게시,0.5131932,0.52111113,0.408252,0.5041146,0.426062,0.39680788,0.37920666,0.5124613,0.43620548,0.3732617,0.48775244,0.39479125,0.44675857,0.41159165,0.39426106,0.52771556,0.40416053
게시물,0.48700538,0.5046823,0.40694517,0.48226696,0.40925312,0.3140115,0.33362037,0.45557958,0.44881254,0.39657667,0.4057311,0.3699519,0.4334618,0.34497553,0.3644002,0.45805627,0.3034181
게시판,0.50033635,0.49581248,0.42682147,0.49992684,0.41086203,0.39309478,0.3331025,0.45742118,0.4267739,0.38133654,0.44060656,0.42599463,0.4267786,0.44794092,0.35146737,0.45948112,0.3665415
게이미피케이션,0.51431054,0.4659127,0.41322833,0.66731596,0.42500496,0.37024802,0.3556435,0.5387571,0.5260396,0.4603567,0.3483919,0.35860926,0.50152194,0.382345,0.49189654,0.4931369,0.30886954
게임,0.3662482,0.34761173,0.28879416,0.414014,0.4318304,0.3777104,0.2653217,0.3488288,0.33924127,0.25323963,0.3152052,0.270862,0.2772519,0.2440492,0.25998005,0.4012668,0.24335116
게임사,0.4898997,0.4540929,0.37570143,0.6058109,0.48302522,0.43679366,0.33899724,0.49883634,0.4959901,0.39115435,0.3564525,0.3548312,0.44514722,0.35445195,0.42998692,0.50379586,0.3077907
게재,0.48339587,0.49578875,0.4062885,0.48662058,0.3885483,0.3700881,0.3592879,0.47974473,0.45853662,0.3987828,0.38579646,0.36751923,0.4539503,0.35202682,0.37494248,0.44048893,0.32466704
겨냥,0.44493848,0.3954032,0.3511668,0.6159404,0.38400233,0.31045884,0.27246088,0.48302966,0.46781868,0.3969348,0.27110726,0.27641127,0.47372016,0.33044446,0.49380395,0.40919042,0.28497732
겨울,0.09774257,0.10839707,0.08256323,0.13499357,0.083992496,0.023653552,0.06301421,0.07972709,0.11592211,0.12847099,0.055494033,0.09054907,0.09111859,0.022671524,0.08152853,0.11227628,0.03602036
격려,0.466285,0.44206807,0.39219612,0.51681685,0.43311203,0.31778294,0.28898406,0.44097137,0.45673218,0.4100823,0.35883886,0.35326892,0.40342978,0.33641875,0.39907154,0.4450954,0.29086512
격차,0.3907144,0.39782298,0.32419932,0.41984314,0.35071445,0.2985217,0.287247,0.3782723,0.376118,0.34697783,0.32399994,0.30321205,0.33977717,0.28546152,0.29497063,0.35516638,0.23311162
견인,0.46954328,0.4665948,0.38611627,0.49579582,0.40091088,0.35366756,0.34348813,0.45689547,0.45597857,0.40328628,0.36073947,0.3561529,0.41747957,0.3204962,0.34336472,0.41459686,0.27636003
결과,0.36162114,0.35541597,0.29654717,0.3632827,0.26411808,0.26678753,0.39391828,0.33515954,0.342255,0.2956264,0.2635461,0.22902262,0.29270238,0.24146411,0.2391779,0.29058295,0.2001083
결과적,0.41161692,0.4022147,0.33077902,0.43622774,0.32550815,0.30537307,0.38265488,0.3844056,0.41178036,0.3611092,0.2905336,0.28250802,0.34955367,0.26884234,0.30318975,0.34615746,0.21215236
결국,0.33748418,0.35476393,0.26959404,0.38038608,0.2623061,0.21074033,0.23909868,0.33303484,0.3639568,0.29345822,0.20650691,0.22765267,0.27606186,0.21353126,0.26067668,0.27694663,0.120251246
결정,0.37956947,0.41403866,0.31558394,0.35190445,0.3137732,0.2825387,0.3069387,0.31256783,0.37345976,0.33469307,0.3051202,0.33815938,0.2773254,0.23109388,0.19302437,0.3230995,0.16698702
결제,0.25957608,0.303738,0.15995173,0.2756093,0.19937415,0.22107866,0.22447851,0.22109592,0.27066076,0.22893983,0.1742726,0.19631258,0.24139202,0.10926051,0.18126436,0.20392376,0.082879394
결합,0.36724102,0.40276653,0.27460277,0.34968087,0.32233632,0.33068532,0.28816932,0.34250665,0.3723152,0.32167637,0.3220834,0.3135088,0.3310794,0.26673067,0.22313765,0.3245507,0.1991586
경계,0.31289124,0.31001383,0.26949003,0.32979953,0.26213217,0.25078502,0.25605893,0.3115028,0.3088175,0.24361789,0.26933545,0.2598595,0.2713863,0.2506701,0.25459912,0.2852369,0.18660289
경고,0.3214906,0.32960775,0.2610932,0.36190256,0.24954017,0.18985686,0.24692425,0.296709,0.2814673,0.30305153,0.23048903,0.23658167,0.2559874,0.21972117,0.22289856,0.3009764,0.1454517
경기,0.36976773,0.36355883,0.30091453,0.39894092,0.3629046,0.29005367,0.3096533,0.3539287,0.36680627,0.28726757,0.30602634,0.29743984,0.300511,0.25269192,0.2707938,0.40840805,0.22814474
경량,0.3722087,0.37816578,0.30494946,0.41678977,0.3157329,0.27326667,0.30145928,0.370919,0.3652296,0.32437724,0.27526867,0.27843994,0.3119437,0.2408677,0.26396945,0.3331894,0.20060216
